category,repo,skill
coding,https://github.com/jr2804/prompts,python-ultimate
coding,https://github.com/alinaqi/claude-bootstrap,code-deduplication
coding,https://github.com/s2005/uv-skill,
coding,https://github.com/shadcn/improve,
docs,plannotator/effective-html,
docs,https://github.com/nicobailon/visual-explainer,
docs,https://github.com/hardikpandya/stop-slop,
docs,https://github.com/oil-oil/beautify-github-readme,
